description,disease
"itchy skin with redness, burning sensation",Fungal Infection
"frequent urge to urinate, painful urination",UTI
"frequent urge to urinate, cloudy urine, lower abdominal pain, painful urination",UTI
"cloudy urine, frequent urge to urinate, lower abdominal pain, painful urination",UTI
"heartburn after meals, difficulty swallowing",GERD
"chest pain, difficulty swallowing, acid reflux",GERD
"nausea, throbbing headache, visual disturbances",Migraine
"itchy skin with redness, burning sensation",Fungal Infection
"painful urination, lower abdominal pain",UTI
"sore throat, sneezing and runny nose",Common Cold
"rash, burning sensation, flaky patches",Fungal Infection
"vomiting, diarrhea, abdominal cramps, dehydration",Gastroenteritis
"high fever with chills, sweating, nausea, body aches",Malaria
"skin hives, nasal congestion",Allergy
"cloudy urine, lower abdominal pain, painful urination",UTI
"throbbing headache, sensitivity to light, visual disturbances",Migraine
"weakness and fatigue, fever for 3 days, loss of appetite",Typhoid
"flaky patches, rash, itchy skin with redness",Fungal Infection
"abdominal cramps, diarrhea, dehydration, vomiting",Gastroenteritis
"body aches, nausea, sweating, high fever with chills",Malaria
"painful urination, lower abdominal pain, cloudy urine, frequent urge to urinate",UTI
"acid reflux, heartburn after meals, chest pain, difficulty swallowing",GERD
"nasal congestion, cough, sneezing and runny nose, sore throat",Common Cold
"frequent urge to urinate, lower abdominal pain",UTI
"abdominal cramps, diarrhea, vomiting, dehydration",Gastroenteritis
"sore throat, nasal congestion",Common Cold
"fever for 1 days, headache, weakness and fatigue",Typhoid
"loss of appetite, weakness and fatigue, headache, fever for 1 days",Typhoid
"visual disturbances, nausea",Migraine
"burning sensation, rash, flaky patches",Fungal Infection
"vomiting, dehydration",Gastroenteritis
"sneezing and runny nose, sore throat",Common Cold
"headache, weakness and fatigue",Typhoid
"acid reflux, heartburn after meals, chest pain",GERD
"vomiting, abdominal cramps, diarrhea, dehydration",Gastroenteritis
"loss of appetite, headache, itchy blister rash",Chickenpox
"diarrhea, abdominal cramps, dehydration, vomiting",Gastroenteritis
"sensitivity to light, visual disturbances, throbbing headache",Migraine
"painful urination, cloudy urine",UTI
"skin hives, runny nose, sneezing and itchy eyes",Allergy
"nasal congestion, runny nose, skin hives",Allergy
"chest pain, heartburn after meals, acid reflux, difficulty swallowing",GERD
"dehydration, vomiting, diarrhea",Gastroenteritis
"abdominal cramps, vomiting, diarrhea, dehydration",Gastroenteritis
"heartburn after meals, chest pain",GERD
"flaky patches, rash",Fungal Infection
"rash, burning sensation",Fungal Infection
"headache, fever and tiredness",Chickenpox
"skin hives, runny nose",Allergy
"abdominal cramps, vomiting",Gastroenteritis
"burning sensation, rash, flaky patches",Fungal Infection
"fever for 1 days, loss of appetite, weakness and fatigue",Typhoid
"nausea, body aches",Malaria
"itchy skin with redness, burning sensation",Fungal Infection
"heartburn after meals, chest pain",GERD
"painful urination, lower abdominal pain",UTI
"diarrhea, dehydration, vomiting",Gastroenteritis
"abdominal cramps, diarrhea",Gastroenteritis
"frequent urge to urinate, painful urination, cloudy urine, lower abdominal pain",UTI
"skin hives, nasal congestion",Allergy
"cough, sore throat, nasal congestion",Common Cold
"difficulty swallowing, acid reflux, chest pain",GERD
"abdominal cramps, diarrhea, vomiting, dehydration",Gastroenteritis
"skin hives, runny nose, nasal congestion",Allergy
"headache, itchy blister rash, fever and tiredness, loss of appetite",Chickenpox
"nausea, throbbing headache",Migraine
"itchy skin with redness, rash",Fungal Infection
"chest pain, heartburn after meals, difficulty swallowing",GERD
"fever and tiredness, itchy blister rash",Chickenpox
"diarrhea, dehydration, abdominal cramps",Gastroenteritis
"nausea, sweating, body aches",Malaria
"sweating, body aches",Malaria
"chest pain, heartburn after meals, difficulty swallowing, acid reflux",GERD
"dehydration, vomiting, diarrhea",Gastroenteritis
"high fever with chills, nausea",Malaria
"frequent urge to urinate, lower abdominal pain, painful urination, cloudy urine",UTI
"acid reflux, chest pain, difficulty swallowing, heartburn after meals",GERD
"fever for 2 days, weakness and fatigue, loss of appetite, headache",Typhoid
"runny nose, nasal congestion, sneezing and itchy eyes",Allergy
"nausea, body aches",Malaria
"body aches, nausea, high fever with chills",Malaria
"throbbing headache, nausea, visual disturbances",Migraine
"skin hives, runny nose",Allergy
"cough, sore throat",Common Cold
"nasal congestion, skin hives, sneezing and itchy eyes, runny nose",Allergy
"throbbing headache, nausea, sensitivity to light, visual disturbances",Migraine
"itchy blister rash, headache",Chickenpox
"heartburn after meals, acid reflux, difficulty swallowing",GERD
"heartburn after meals, difficulty swallowing, chest pain",GERD
"sneezing and runny nose, sore throat",Common Cold
"cloudy urine, painful urination, lower abdominal pain",UTI
"lower abdominal pain, painful urination",UTI
"nasal congestion, sneezing and runny nose",Common Cold
"headache, fever and tiredness, loss of appetite",Chickenpox
"acid reflux, heartburn after meals, chest pain, difficulty swallowing",GERD
"cough, sneezing and runny nose, sore throat",Common Cold
"painful urination, cloudy urine, lower abdominal pain",UTI
"weakness and fatigue, loss of appetite, headache, fever for 2 days",Typhoid
"sore throat, nasal congestion, sneezing and runny nose",Common Cold
"loss of appetite, headache, fever and tiredness",Chickenpox
"acid reflux, heartburn after meals, difficulty swallowing, chest pain",GERD
"flaky patches, rash, burning sensation",Fungal Infection
"loss of appetite, itchy blister rash, fever and tiredness, headache",Chickenpox
"runny nose, sneezing and itchy eyes",Allergy
"sweating, nausea, body aches, high fever with chills",Malaria
"cough, sneezing and runny nose, nasal congestion, sore throat",Common Cold
"fever and tiredness, headache",Chickenpox
"frequent urge to urinate, lower abdominal pain, painful urination",UTI
"difficulty swallowing, heartburn after meals, acid reflux",GERD
"sensitivity to light, nausea",Migraine
"sweating, nausea, body aches",Malaria
"sneezing and runny nose, sore throat, cough",Common Cold
"fever for 1 days, weakness and fatigue, loss of appetite",Typhoid
"painful urination, lower abdominal pain",UTI
"heartburn after meals, difficulty swallowing, acid reflux",GERD
"itchy blister rash, headache, fever and tiredness, loss of appetite",Chickenpox
"fever and tiredness, loss of appetite, headache, itchy blister rash",Chickenpox
"sneezing and itchy eyes, skin hives, nasal congestion, runny nose",Allergy
"cloudy urine, frequent urge to urinate, painful urination, lower abdominal pain",UTI
"chest pain, heartburn after meals",GERD
"cough, sneezing and runny nose, sore throat, nasal congestion",Common Cold
"itchy blister rash, headache",Chickenpox
"burning sensation, itchy skin with redness",Fungal Infection
"itchy skin with redness, rash, flaky patches, burning sensation",Fungal Infection
"abdominal cramps, diarrhea, dehydration, vomiting",Gastroenteritis
"loss of appetite, fever for 3 days, weakness and fatigue, headache",Typhoid
"runny nose, skin hives, sneezing and itchy eyes, nasal congestion",Allergy
"fever for 4 days, loss of appetite, weakness and fatigue",Typhoid
"cloudy urine, frequent urge to urinate",UTI
"lower abdominal pain, painful urination, cloudy urine, frequent urge to urinate",UTI
"burning sensation, itchy skin with redness, flaky patches",Fungal Infection
"skin hives, sneezing and itchy eyes, runny nose, nasal congestion",Allergy
"high fever with chills, sweating",Malaria
"cough, sore throat, nasal congestion",Common Cold
"cloudy urine, lower abdominal pain",UTI
"frequent urge to urinate, cloudy urine, lower abdominal pain, painful urination",UTI
"loss of appetite, itchy blister rash, fever and tiredness, headache",Chickenpox
"difficulty swallowing, chest pain, heartburn after meals, acid reflux",GERD
"acid reflux, heartburn after meals",GERD
"sneezing and itchy eyes, nasal congestion, runny nose, skin hives",Allergy
"sweating, nausea, high fever with chills, body aches",Malaria
"heartburn after meals, difficulty swallowing, acid reflux, chest pain",GERD
"sore throat, sneezing and runny nose",Common Cold
"abdominal cramps, vomiting, diarrhea, dehydration",Gastroenteritis
"frequent urge to urinate, painful urination, cloudy urine, lower abdominal pain",UTI
"frequent urge to urinate, lower abdominal pain",UTI
"painful urination, cloudy urine",UTI
"loss of appetite, headache",Chickenpox
"dehydration, diarrhea, vomiting, abdominal cramps",Gastroenteritis
"headache, fever for 4 days",Typhoid
"sneezing and runny nose, sore throat",Common Cold
"fever for 3 days, weakness and fatigue, loss of appetite, headache",Typhoid
"rash, flaky patches",Fungal Infection
"high fever with chills, nausea, body aches",Malaria
"nausea, sensitivity to light, throbbing headache",Migraine
"loss of appetite, fever for 5 days, weakness and fatigue",Typhoid
"nausea, sweating, high fever with chills",Malaria
"throbbing headache, nausea",Migraine
"fever for 3 days, headache",Typhoid
"cough, sore throat, nasal congestion",Common Cold
"vomiting, diarrhea",Gastroenteritis
"painful urination, lower abdominal pain",UTI
"difficulty swallowing, chest pain, heartburn after meals, acid reflux",GERD
"headache, fever and tiredness, loss of appetite",Chickenpox
"abdominal cramps, dehydration, diarrhea",Gastroenteritis
"rash, flaky patches, itchy skin with redness",Fungal Infection
"burning sensation, rash, flaky patches",Fungal Infection
"itchy skin with redness, burning sensation, flaky patches",Fungal Infection
"acid reflux, heartburn after meals",GERD
"rash, itchy skin with redness, burning sensation, flaky patches",Fungal Infection
"sneezing and itchy eyes, nasal congestion, runny nose",Allergy
"sensitivity to light, nausea, visual disturbances, throbbing headache",Migraine
"itchy blister rash, fever and tiredness",Chickenpox
"cough, sneezing and runny nose, sore throat",Common Cold
"throbbing headache, sensitivity to light, visual disturbances",Migraine
"nausea, visual disturbances, throbbing headache",Migraine
"skin hives, sneezing and itchy eyes, nasal congestion",Allergy
"diarrhea, dehydration",Gastroenteritis
"throbbing headache, visual disturbances, nausea, sensitivity to light",Migraine
"headache, loss of appetite, fever and tiredness",Chickenpox
"nasal congestion, skin hives, runny nose, sneezing and itchy eyes",Allergy
"loss of appetite, itchy blister rash, fever and tiredness, headache",Chickenpox
"fever for 1 days, loss of appetite",Typhoid
"sneezing and runny nose, sore throat, cough, nasal congestion",Common Cold
"sneezing and runny nose, cough, nasal congestion, sore throat",Common Cold
"sore throat, sneezing and runny nose, cough, nasal congestion",Common Cold
"itchy blister rash, loss of appetite, headache",Chickenpox
"lower abdominal pain, painful urination, cloudy urine, frequent urge to urinate",UTI
"abdominal cramps, dehydration, vomiting, diarrhea",Gastroenteritis
"sweating, high fever with chills, body aches, nausea",Malaria
"skin hives, nasal congestion",Allergy
"abdominal cramps, diarrhea, dehydration, vomiting",Gastroenteritis
"painful urination, lower abdominal pain, cloudy urine, frequent urge to urinate",UTI
"acid reflux, heartburn after meals, difficulty swallowing, chest pain",GERD
"vomiting, dehydration, abdominal cramps, diarrhea",Gastroenteritis
"difficulty swallowing, chest pain, acid reflux, heartburn after meals",GERD
"burning sensation, itchy skin with redness",Fungal Infection
"sensitivity to light, throbbing headache",Migraine
"throbbing headache, nausea, sensitivity to light, visual disturbances",Migraine
"visual disturbances, nausea, sensitivity to light, throbbing headache",Migraine
"nasal congestion, cough, sore throat, sneezing and runny nose",Common Cold
"abdominal cramps, dehydration, vomiting",Gastroenteritis
"difficulty swallowing, chest pain, acid reflux",GERD
"visual disturbances, nausea",Migraine
"visual disturbances, throbbing headache, sensitivity to light",Migraine
"heartburn after meals, chest pain, acid reflux, difficulty swallowing",GERD
"nausea, body aches",Malaria
"fever for 1 days, weakness and fatigue, headache, loss of appetite",Typhoid
"body aches, sweating",Malaria
"throbbing headache, visual disturbances, sensitivity to light",Migraine
"fever for 5 days, weakness and fatigue",Typhoid
"fever and tiredness, headache, itchy blister rash",Chickenpox
"sweating, nausea",Malaria
"difficulty swallowing, heartburn after meals",GERD
"headache, loss of appetite, fever for 4 days, weakness and fatigue",Typhoid
"burning sensation, flaky patches, itchy skin with redness, rash",Fungal Infection
"lower abdominal pain, frequent urge to urinate",UTI
"fever and tiredness, itchy blister rash",Chickenpox
"sore throat, sneezing and runny nose",Common Cold
"frequent urge to urinate, lower abdominal pain, painful urination, cloudy urine",UTI
"difficulty swallowing, acid reflux",GERD
"sneezing and runny nose, cough, nasal congestion, sore throat",Common Cold
"chest pain, acid reflux, heartburn after meals, difficulty swallowing",GERD
"rash, flaky patches, itchy skin with redness",Fungal Infection
"high fever with chills, body aches",Malaria
"loss of appetite, headache",Chickenpox
"acid reflux, difficulty swallowing, chest pain, heartburn after meals",GERD
"itchy skin with redness, flaky patches, burning sensation, rash",Fungal Infection
"dehydration, diarrhea",Gastroenteritis
"dehydration, abdominal cramps, diarrhea, vomiting",Gastroenteritis
"nasal congestion, runny nose",Allergy
"sweating, body aches",Malaria
"body aches, nausea, sweating, high fever with chills",Malaria
"itchy blister rash, loss of appetite, headache, fever and tiredness",Chickenpox
"flaky patches, burning sensation, rash",Fungal Infection
"nausea, sweating",Malaria
"sore throat, nasal congestion, sneezing and runny nose",Common Cold
"fever for 5 days, weakness and fatigue, headache, loss of appetite",Typhoid
"fever for 1 days, loss of appetite, weakness and fatigue",Typhoid
"throbbing headache, nausea, visual disturbances",Migraine
"nausea, body aches, sweating, high fever with chills",Malaria
"throbbing headache, nausea, visual disturbances, sensitivity to light",Migraine
"heartburn after meals, chest pain, acid reflux, difficulty swallowing",GERD
"sneezing and runny nose, cough",Common Cold
"acid reflux, heartburn after meals",GERD
"sore throat, cough",Common Cold
"diarrhea, vomiting, dehydration, abdominal cramps",Gastroenteritis
"cough, sneezing and runny nose, sore throat",Common Cold
"sneezing and itchy eyes, nasal congestion, runny nose",Allergy
"flaky patches, burning sensation, rash",Fungal Infection
"loss of appetite, weakness and fatigue, headache",Typhoid
"visual disturbances, sensitivity to light, nausea, throbbing headache",Migraine
"difficulty swallowing, heartburn after meals, acid reflux, chest pain",GERD
"dehydration, abdominal cramps, diarrhea",Gastroenteritis
"frequent urge to urinate, lower abdominal pain, cloudy urine",UTI
"abdominal cramps, vomiting",Gastroenteritis
"nasal congestion, sneezing and itchy eyes, runny nose",Allergy
"loss of appetite, headache, fever and tiredness, itchy blister rash",Chickenpox
"headache, weakness and fatigue",Typhoid
"visual disturbances, sensitivity to light, throbbing headache",Migraine
"difficulty swallowing, acid reflux, chest pain, heartburn after meals",GERD
"skin hives, sneezing and itchy eyes, runny nose",Allergy
"body aches, nausea",Malaria
"heartburn after meals, chest pain, difficulty swallowing",GERD
"itchy blister rash, headache, fever and tiredness, loss of appetite",Chickenpox
"high fever with chills, nausea, sweating, body aches",Malaria
"skin hives, sneezing and itchy eyes, runny nose",Allergy
"headache, fever for 1 days, loss of appetite",Typhoid
"diarrhea, abdominal cramps, dehydration",Gastroenteritis
"nausea, throbbing headache, visual disturbances, sensitivity to light",Migraine
"abdominal cramps, dehydration",Gastroenteritis
"heartburn after meals, chest pain, difficulty swallowing, acid reflux",GERD
"runny nose, sneezing and itchy eyes",Allergy
"headache, fever for 1 days",Typhoid
"itchy skin with redness, flaky patches",Fungal Infection
"skin hives, sneezing and itchy eyes",Allergy
"runny nose, nasal congestion, sneezing and itchy eyes",Allergy
"throbbing headache, sensitivity to light, nausea",Migraine
"sensitivity to light, visual disturbances, nausea, throbbing headache",Migraine
"acid reflux, heartburn after meals, chest pain, difficulty swallowing",GERD
"vomiting, diarrhea",Gastroenteritis
"nausea, body aches, high fever with chills, sweating",Malaria
"sweating, nausea",Malaria
"headache, weakness and fatigue",Typhoid
"runny nose, sneezing and itchy eyes, skin hives",Allergy
"vomiting, abdominal cramps, dehydration",Gastroenteritis
"nausea, high fever with chills, body aches, sweating",Malaria
"loss of appetite, weakness and fatigue",Typhoid
"painful urination, cloudy urine",UTI
"itchy blister rash, loss of appetite, fever and tiredness",Chickenpox
"headache, loss of appetite, fever and tiredness, itchy blister rash",Chickenpox
"runny nose, sneezing and itchy eyes, nasal congestion",Allergy
"dehydration, diarrhea, abdominal cramps, vomiting",Gastroenteritis
"nasal congestion, cough",Common Cold
"sore throat, cough, nasal congestion",Common Cold
"diarrhea, vomiting, abdominal cramps",Gastroenteritis
"skin hives, sneezing and itchy eyes, nasal congestion, runny nose",Allergy
"nasal congestion, skin hives, sneezing and itchy eyes",Allergy
"weakness and fatigue, headache, fever for 3 days, loss of appetite",Typhoid
"visual disturbances, throbbing headache, sensitivity to light",Migraine
"acid reflux, chest pain",GERD
"diarrhea, vomiting, abdominal cramps",Gastroenteritis
"burning sensation, flaky patches",Fungal Infection
"cloudy urine, frequent urge to urinate, lower abdominal pain",UTI
"heartburn after meals, acid reflux, difficulty swallowing, chest pain",GERD
"visual disturbances, nausea",Migraine
"diarrhea, vomiting",Gastroenteritis
"visual disturbances, nausea",Migraine
"nasal congestion, sore throat, cough",Common Cold
"flaky patches, burning sensation",Fungal Infection
"throbbing headache, sensitivity to light",Migraine
"acid reflux, chest pain",GERD
"nasal congestion, cough",Common Cold
"diarrhea, dehydration, vomiting",Gastroenteritis
"high fever with chills, body aches, nausea",Malaria
"headache, itchy blister rash, fever and tiredness",Chickenpox
"sneezing and itchy eyes, skin hives, nasal congestion",Allergy
"runny nose, nasal congestion, skin hives, sneezing and itchy eyes",Allergy
"high fever with chills, body aches, nausea, sweating",Malaria
"vomiting, abdominal cramps, dehydration, diarrhea",Gastroenteritis
"fever and tiredness, itchy blister rash, loss of appetite",Chickenpox
"heartburn after meals, chest pain, difficulty swallowing",GERD
"dehydration, abdominal cramps, vomiting",Gastroenteritis
"difficulty swallowing, heartburn after meals, chest pain, acid reflux",GERD
"abdominal cramps, vomiting, diarrhea, dehydration",Gastroenteritis
"visual disturbances, sensitivity to light",Migraine
"headache, loss of appetite, fever and tiredness, itchy blister rash",Chickenpox
"sneezing and runny nose, nasal congestion, cough, sore throat",Common Cold
"lower abdominal pain, painful urination",UTI
"painful urination, frequent urge to urinate, cloudy urine",UTI
"diarrhea, dehydration, vomiting",Gastroenteritis
"fever and tiredness, headache, loss of appetite",Chickenpox
"sensitivity to light, visual disturbances, nausea, throbbing headache",Migraine
"loss of appetite, weakness and fatigue, fever for 2 days, headache",Typhoid
"sneezing and runny nose, sore throat, cough",Common Cold
"sneezing and itchy eyes, skin hives",Allergy
"nausea, visual disturbances, throbbing headache",Migraine
"throbbing headache, visual disturbances, nausea, sensitivity to light",Migraine
"runny nose, nasal congestion, skin hives",Allergy
"painful urination, frequent urge to urinate, lower abdominal pain, cloudy urine",UTI
"itchy skin with redness, flaky patches, rash, burning sensation",Fungal Infection
"nasal congestion, sore throat, sneezing and runny nose",Common Cold
"heartburn after meals, chest pain, difficulty swallowing",GERD
"diarrhea, dehydration",Gastroenteritis
"high fever with chills, sweating, body aches",Malaria
"frequent urge to urinate, lower abdominal pain, painful urination",UTI
"rash, itchy skin with redness, flaky patches",Fungal Infection
"itchy blister rash, loss of appetite, headache",Chickenpox
"vomiting, diarrhea, dehydration, abdominal cramps",Gastroenteritis
"headache, loss of appetite, fever for 3 days",Typhoid
"dehydration, abdominal cramps, vomiting, diarrhea",Gastroenteritis
"cloudy urine, frequent urge to urinate",UTI
"high fever with chills, body aches, sweating, nausea",Malaria
"body aches, nausea, sweating, high fever with chills",Malaria
"frequent urge to urinate, lower abdominal pain",UTI
"visual disturbances, throbbing headache, nausea, sensitivity to light",Migraine
"runny nose, sneezing and itchy eyes",Allergy
"loss of appetite, headache, weakness and fatigue, fever for 2 days",Typhoid
"flaky patches, rash, burning sensation",Fungal Infection
"diarrhea, vomiting, dehydration",Gastroenteritis
"skin hives, sneezing and itchy eyes",Allergy
"nausea, throbbing headache, sensitivity to light, visual disturbances",Migraine
"flaky patches, rash",Fungal Infection
"loss of appetite, itchy blister rash",Chickenpox
"itchy skin with redness, rash",Fungal Infection
"rash, burning sensation, flaky patches, itchy skin with redness",Fungal Infection
"sweating, nausea, body aches, high fever with chills",Malaria
"fever and tiredness, itchy blister rash",Chickenpox
"dehydration, diarrhea",Gastroenteritis
"nausea, visual disturbances",Migraine
"flaky patches, burning sensation, rash, itchy skin with redness",Fungal Infection
"sneezing and itchy eyes, skin hives",Allergy
"sneezing and itchy eyes, skin hives, runny nose",Allergy
"itchy blister rash, headache, loss of appetite",Chickenpox
"cough, nasal congestion, sneezing and runny nose",Common Cold
"sneezing and runny nose, nasal congestion, sore throat, cough",Common Cold
"painful urination, frequent urge to urinate, lower abdominal pain",UTI
"heartburn after meals, difficulty swallowing",GERD
"runny nose, nasal congestion",Allergy
"vomiting, diarrhea",Gastroenteritis
"loss of appetite, headache, fever for 5 days",Typhoid
"sore throat, sneezing and runny nose, cough",Common Cold
"throbbing headache, nausea, visual disturbances",Migraine
"visual disturbances, sensitivity to light, nausea, throbbing headache",Migraine
"abdominal cramps, vomiting",Gastroenteritis
"frequent urge to urinate, cloudy urine, painful urination, lower abdominal pain",UTI
"cough, sneezing and runny nose",Common Cold
"cough, sneezing and runny nose, sore throat, nasal congestion",Common Cold
"rash, burning sensation, flaky patches, itchy skin with redness",Fungal Infection
"acid reflux, difficulty swallowing, chest pain, heartburn after meals",GERD
"loss of appetite, itchy blister rash, fever and tiredness, headache",Chickenpox
"loss of appetite, fever and tiredness, headache",Chickenpox
"visual disturbances, nausea, throbbing headache, sensitivity to light",Migraine
"headache, weakness and fatigue",Typhoid
"rash, flaky patches, burning sensation",Fungal Infection
"headache, loss of appetite",Typhoid
"throbbing headache, visual disturbances, sensitivity to light",Migraine
"burning sensation, flaky patches",Fungal Infection
"headache, itchy blister rash, fever and tiredness, loss of appetite",Chickenpox
"cough, nasal congestion, sore throat, sneezing and runny nose",Common Cold
"heartburn after meals, acid reflux",GERD
"high fever with chills, sweating, nausea, body aches",Malaria
"chest pain, difficulty swallowing",GERD
"body aches, sweating, high fever with chills, nausea",Malaria
"flaky patches, rash, itchy skin with redness",Fungal Infection
"sensitivity to light, nausea",Migraine
"lower abdominal pain, cloudy urine, frequent urge to urinate",UTI
"itchy blister rash, loss of appetite, headache, fever and tiredness",Chickenpox
"body aches, high fever with chills",Malaria
"itchy blister rash, fever and tiredness, headache",Chickenpox
"throbbing headache, nausea, visual disturbances, sensitivity to light",Migraine
"high fever with chills, body aches, sweating",Malaria
"loss of appetite, fever and tiredness",Chickenpox
"loss of appetite, weakness and fatigue",Typhoid
"flaky patches, itchy skin with redness",Fungal Infection
"sweating, body aches",Malaria
"skin hives, runny nose, nasal congestion",Allergy
"cloudy urine, painful urination, lower abdominal pain, frequent urge to urinate",UTI
"chest pain, acid reflux, difficulty swallowing",GERD
"heartburn after meals, acid reflux",GERD
"rash, flaky patches, burning sensation",Fungal Infection
"visual disturbances, sensitivity to light",Migraine
"itchy skin with redness, flaky patches, rash, burning sensation",Fungal Infection
"visual disturbances, throbbing headache",Migraine
"loss of appetite, itchy blister rash, headache",Chickenpox
"frequent urge to urinate, cloudy urine, lower abdominal pain",UTI
"cough, sore throat, sneezing and runny nose, nasal congestion",Common Cold
"frequent urge to urinate, painful urination, cloudy urine",UTI
"nausea, sweating",Malaria
"sore throat, cough, nasal congestion, sneezing and runny nose",Common Cold
"nasal congestion, sore throat, cough",Common Cold
"dehydration, diarrhea",Gastroenteritis
"sensitivity to light, throbbing headache, visual disturbances, nausea",Migraine
"weakness and fatigue, headache",Typhoid
"acid reflux, chest pain, heartburn after meals, difficulty swallowing",GERD
"lower abdominal pain, painful urination, cloudy urine, frequent urge to urinate",UTI
"loss of appetite, fever for 1 days",Typhoid
"lower abdominal pain, cloudy urine",UTI
"sweating, body aches, high fever with chills",Malaria
"lower abdominal pain, cloudy urine",UTI
"chest pain, heartburn after meals",GERD
"throbbing headache, nausea",Migraine
"headache, fever and tiredness",Chickenpox
"sneezing and runny nose, sore throat, cough, nasal congestion",Common Cold
"nasal congestion, cough, sneezing and runny nose",Common Cold
"high fever with chills, nausea, sweating",Malaria
"nausea, throbbing headache",Migraine
"sweating, nausea, body aches",Malaria
"painful urination, cloudy urine, lower abdominal pain",UTI
"runny nose, nasal congestion, skin hives",Allergy
"sneezing and runny nose, cough, sore throat",Common Cold
"painful urination, cloudy urine",UTI
"skin hives, nasal congestion, sneezing and itchy eyes, runny nose",Allergy
"skin hives, nasal congestion, runny nose",Allergy
"runny nose, skin hives",Allergy
"sensitivity to light, nausea, visual disturbances",Migraine
"nausea, sensitivity to light, visual disturbances, throbbing headache",Migraine
"difficulty swallowing, acid reflux, chest pain",GERD
"cloudy urine, frequent urge to urinate",UTI
"vomiting, dehydration, diarrhea, abdominal cramps",Gastroenteritis
"visual disturbances, nausea, sensitivity to light",Migraine
"visual disturbances, throbbing headache, nausea",Migraine
"difficulty swallowing, heartburn after meals",GERD
"abdominal cramps, diarrhea, dehydration",Gastroenteritis
"frequent urge to urinate, painful urination, cloudy urine, lower abdominal pain",UTI
"heartburn after meals, chest pain, acid reflux",GERD
"burning sensation, itchy skin with redness, rash, flaky patches",Fungal Infection
"nasal congestion, sneezing and runny nose, cough, sore throat",Common Cold
"painful urination, lower abdominal pain, frequent urge to urinate, cloudy urine",UTI
"vomiting, diarrhea, abdominal cramps",Gastroenteritis
"sore throat, nasal congestion, cough",Common Cold
"sweating, nausea",Malaria
"sensitivity to light, throbbing headache, nausea",Migraine
"itchy blister rash, headache, fever and tiredness",Chickenpox
"diarrhea, dehydration, abdominal cramps, vomiting",Gastroenteritis
"skin hives, nasal congestion, runny nose, sneezing and itchy eyes",Allergy
"itchy skin with redness, burning sensation, rash",Fungal Infection
"nausea, body aches, high fever with chills",Malaria
"nasal congestion, runny nose, sneezing and itchy eyes",Allergy
"fever and tiredness, itchy blister rash, loss of appetite",Chickenpox
"loss of appetite, itchy blister rash, fever and tiredness, headache",Chickenpox
"throbbing headache, nausea, sensitivity to light",Migraine
"itchy skin with redness, rash",Fungal Infection
"sweating, nausea, high fever with chills, body aches",Malaria
"chest pain, heartburn after meals",GERD
"sneezing and itchy eyes, nasal congestion",Allergy
"painful urination, frequent urge to urinate, cloudy urine, lower abdominal pain",UTI
"dehydration, abdominal cramps, vomiting, diarrhea",Gastroenteritis
"cough, nasal congestion, sore throat",Common Cold
"itchy blister rash, fever and tiredness, headache, loss of appetite",Chickenpox
"nasal congestion, sneezing and runny nose, cough, sore throat",Common Cold
"fever and tiredness, loss of appetite, itchy blister rash",Chickenpox
"chest pain, difficulty swallowing, heartburn after meals",GERD
"sneezing and itchy eyes, runny nose, skin hives, nasal congestion",Allergy
"diarrhea, abdominal cramps, dehydration",Gastroenteritis
"chest pain, heartburn after meals, acid reflux",GERD
"lower abdominal pain, frequent urge to urinate, painful urination, cloudy urine",UTI
"body aches, high fever with chills",Malaria
"cloudy urine, painful urination, lower abdominal pain, frequent urge to urinate",UTI
"chest pain, heartburn after meals",GERD
"runny nose, nasal congestion, sneezing and itchy eyes, skin hives",Allergy
"acid reflux, chest pain",GERD
"chest pain, heartburn after meals",GERD
"sore throat, cough",Common Cold
"sore throat, sneezing and runny nose",Common Cold
"nasal congestion, runny nose",Allergy
"fever for 3 days, weakness and fatigue, headache",Typhoid
"abdominal cramps, dehydration",Gastroenteritis
"flaky patches, burning sensation",Fungal Infection
"heartburn after meals, difficulty swallowing, acid reflux, chest pain",GERD
"loss of appetite, headache, fever for 2 days, weakness and fatigue",Typhoid
"cough, sore throat",Common Cold
"difficulty swallowing, acid reflux",GERD
"heartburn after meals, difficulty swallowing, chest pain",GERD
"cloudy urine, painful urination, lower abdominal pain",UTI
"acid reflux, heartburn after meals",GERD
"skin hives, runny nose",Allergy
"sore throat, nasal congestion, cough, sneezing and runny nose",Common Cold
"chest pain, acid reflux",GERD
"rash, flaky patches, burning sensation, itchy skin with redness",Fungal Infection
"cough, sneezing and runny nose, sore throat",Common Cold
"heartburn after meals, difficulty swallowing, chest pain, acid reflux",GERD
"headache, loss of appetite, fever and tiredness",Chickenpox
"frequent urge to urinate, painful urination, lower abdominal pain, cloudy urine",UTI
"burning sensation, itchy skin with redness, rash",Fungal Infection
"heartburn after meals, acid reflux",GERD
"throbbing headache, visual disturbances, nausea",Migraine
"sensitivity to light, visual disturbances",Migraine
"loss of appetite, itchy blister rash",Chickenpox
"abdominal cramps, vomiting, dehydration, diarrhea",Gastroenteritis
"lower abdominal pain, cloudy urine",UTI
"lower abdominal pain, frequent urge to urinate, painful urination, cloudy urine",UTI
"painful urination, lower abdominal pain",UTI
"acid reflux, heartburn after meals, chest pain, difficulty swallowing",GERD
